,accuracies,losses
0,0.1,2.30004
1,0.14,2.29373
2,0.14,2.29327
3,0.125,2.30494
4,0.124,2.3037
5,0.13,2.3038
6,0.131429,2.30031
7,0.13,2.30172
8,0.117778,2.30862
9,0.118,2.30298
10,0.114545,2.29966
11,0.113333,2.3011
12,0.110769,2.30848
13,0.108571,2.30767
14,0.106667,2.30684
15,0.1025,2.29937
16,0.102353,2.29854
17,0.101111,2.30593
18,0.1,2.30662
19,0.101,2.29445
20,0.100952,2.30605
21,0.100909,2.30009
22,0.0982609,2.30241
23,0.0958333,2.3116
24,0.0928,2.30846
25,0.0923077,2.30893
26,0.0903704,2.30798
27,0.0928571,2.30393
28,0.0944828,2.30056
29,0.094,2.29924
30,0.0954839,2.30494
31,0.098125,2.29586
32,0.0969697,2.30777
33,0.0982353,2.30559
34,0.0988571,2.3059
35,0.0977778,2.30443
36,0.0956757,2.30779
37,0.0936842,2.30508
38,0.0958974,2.29901
39,0.0945,2.31377
40,0.0970732,2.29881
41,0.0961905,2.30294
42,0.0976744,2.30184
43,0.0972727,2.30422
44,0.0977778,2.29917
45,0.0986957,2.29869
46,0.0991489,2.30078
47,0.0991667,2.29695
48,0.0991837,2.31079
49,0.1,2.29854
50,0.0988235,2.30777
51,0.0992308,2.29861
52,0.0996226,2.30309
53,0.0985185,2.30671
54,0.0981818,2.30621
55,0.0989286,2.29807
56,0.1,2.29528
57,0.1,2.30406
58,0.099322,2.30966
59,0.098,2.30265
60,0.0983607,2.30605
61,0.0990323,2.30363
62,0.0980952,2.30587
63,0.0975,2.30612
64,0.0975385,2.3005
65,0.0975758,2.30028
66,0.0973134,2.30732
67,0.0973529,2.30116
68,0.0973913,2.30307
69,0.0974286,2.30483
70,0.0966197,2.30299
71,0.0958333,2.30807
72,0.0958904,2.30029
73,0.0956757,2.30373
74,0.0952,2.30453
75,0.0947368,2.30427
76,0.0958442,2.30179
77,0.0951282,2.30408
78,0.0956962,2.3004
79,0.09625,2.2993
80,0.0962963,2.30195
81,0.0960976,2.30533
82,0.0959036,2.30375
83,0.0959524,2.30729
84,0.0952941,2.30118
85,0.095814,2.30285
86,0.0965517,2.30494
87,0.0965909,2.29842
88,0.0966292,2.30184
89,0.0966667,2.30194
90,0.0967033,2.30202
91,0.0973913,2.30096
92,0.0974194,2.29944
93,0.0970213,2.30723
94,0.0968421,2.3052
95,0.0975,2.30244
96,0.0973196,2.30459
97,0.097551,2.30213
98,0.0993939,2.29998
99,0.0996,2.30325
100,0.0994059,2.30264
101,0.0998039,2.30463
102,0.100583,2.29887
103,0.100962,2.29953
104,0.101333,2.2982
105,0.101509,2.29823
106,0.101869,2.30021
107,0.102037,2.29775
108,0.102752,2.30058
109,0.102,2.30805
110,0.101982,2.30479
111,0.102143,2.29837
112,0.102124,2.3019
113,0.10193,2.30053
114,0.102435,2.30812
115,0.102586,2.2955
116,0.10359,2.29598
117,0.103559,2.30261
118,0.103529,2.29981
119,0.103333,2.30406
120,0.103306,2.30423
