,loss,accuracy,val_loss,val_accuracy
0,1.82212,0.35972,1.65766,0.411
1,1.5625,0.45468,1.54819,0.4377
2,1.46136,0.48706,1.52377,0.4493
3,1.38579,0.51454,1.4555,0.4759
4,1.31354,0.54144,1.39833,0.5025
5,1.26031,0.56192,1.36172,0.5166
6,1.22318,0.57496,1.3401,0.5274
7,1.1945,0.58534,1.32591,0.5338
8,1.17016,0.59336,1.31518,0.5381
9,1.14843,0.60246,1.30368,0.5429
10,1.12846,0.61036,1.29653,0.5499
11,1.11015,0.61642,1.28543,0.5545
12,1.09315,0.62224,1.28261,0.5561
13,1.07749,0.62768,1.28119,0.557
14,1.06299,0.63246,1.27831,0.5594
15,1.04947,0.63858,1.27861,0.561
16,1.03679,0.6427,1.28068,0.5606
17,1.02481,0.64666,1.28296,0.5606
18,1.01339,0.6507,1.28494,0.56
19,1.00246,0.65372,1.28799,0.5599
20,0.99191,0.65752,1.29109,0.5592
21,0.981548,0.66084,1.29465,0.5593
22,0.971286,0.66462,1.29814,0.5588
23,0.961024,0.66824,1.30056,0.5592
24,0.950627,0.67212,1.30373,0.5592
25,0.940102,0.67608,1.30674,0.5588
26,0.929326,0.68006,1.30757,0.5598
27,0.918297,0.68466,1.30763,0.5603
28,0.907033,0.68874,1.30714,0.5599
29,0.895593,0.6927,1.30647,0.5618
30,0.884044,0.6967,1.30606,0.5625
31,0.87249,0.7009,1.30508,0.5636
32,0.861013,0.70464,1.30514,0.5649
33,0.849727,0.70834,1.30675,0.5634
34,0.838667,0.7121,1.30835,0.5627
35,0.827933,0.71564,1.31046,0.5624
36,0.817517,0.72002,1.31253,0.5633
37,0.807402,0.72358,1.31578,0.564
38,0.797581,0.72696,1.31999,0.5639
39,0.78804,0.73012,1.32484,0.5639
40,0.778851,0.73368,1.32987,0.5641
41,0.769867,0.73674,1.33481,0.5636
42,0.761131,0.7405,1.34034,0.5635
43,0.752591,0.7441,1.34582,0.5635
44,0.74423,0.74758,1.3522,0.5629
45,0.736062,0.75052,1.3581,0.5629
46,0.728055,0.75306,1.36503,0.5624
47,0.720207,0.75614,1.37088,0.5606
48,0.712471,0.7594,1.37808,0.5599
49,0.704876,0.7623,1.38497,0.5592
50,0.697386,0.76558,1.3928,0.5589
51,0.690034,0.7684,1.39956,0.5598
52,0.682746,0.77156,1.40761,0.5588
53,0.675573,0.77458,1.41476,0.5584
54,0.668458,0.77742,1.42234,0.5582
55,0.661446,0.7806,1.43033,0.5576
56,0.654493,0.7833,1.43883,0.5561
57,0.647642,0.78578,1.44746,0.5558
58,0.640834,0.78854,1.45611,0.5556
59,0.634088,0.7909,1.46451,0.5556
60,0.627401,0.79324,1.47288,0.5552
61,0.620797,0.79606,1.48227,0.5541
62,0.614253,0.79902,1.49168,0.5548
63,0.607778,0.80174,1.5005,0.5536
64,0.601328,0.8041,1.50965,0.5532
65,0.594959,0.807,1.51939,0.5523
66,0.58861,0.80934,1.52893,0.5515
67,0.58235,0.81184,1.53894,0.5508
68,0.576162,0.81396,1.54894,0.5504
69,0.569999,0.81628,1.55829,0.55
70,0.563895,0.81878,1.56836,0.5492
71,0.557842,0.82148,1.57888,0.5482
72,0.551825,0.82388,1.58909,0.5472
73,0.545907,0.826,1.59955,0.5464
74,0.540018,0.82828,1.60953,0.5458
75,0.5342,0.8308,1.61887,0.5461
76,0.528387,0.83318,1.6297,0.5465
77,0.522626,0.83596,1.64006,0.5468
78,0.51689,0.83848,1.65113,0.5462
79,0.511242,0.84082,1.66182,0.5452
80,0.505611,0.84292,1.67269,0.5443
81,0.500034,0.84556,1.68339,0.5432
82,0.494502,0.84772,1.69429,0.5433
83,0.48899,0.8498,1.70536,0.5429
84,0.483553,0.8521,1.71659,0.5425
85,0.478147,0.85442,1.72745,0.5417
86,0.472783,0.85668,1.73838,0.5411
