,accuracies,losses
0,0.07,2.46089
1,0.065,2.45284
2,0.06,2.42201
3,0.0625,2.4568
4,0.066,2.38961
5,0.07,2.40357
6,0.07,2.316
7,0.0725,2.4269
8,0.0711111,2.35119
9,0.073,2.35036
10,0.0754545,2.32509
11,0.0775,2.28999
12,0.0761538,2.43218
13,0.0807143,2.28586
14,0.0833333,2.28757
15,0.083125,2.31113
16,0.0864706,2.23235
17,0.0933333,2.23596
18,0.0984211,2.24909
19,0.105,2.20857
20,0.109524,2.21245
21,0.110455,2.2111
22,0.113478,2.17152
23,0.114583,2.24051
24,0.1192,2.19538
25,0.122308,2.13017
26,0.123333,2.18235
27,0.127143,2.13695
28,0.132414,2.13371
29,0.137,2.18854
30,0.140323,2.15826
31,0.144375,2.09777
32,0.15,2.06815
33,0.155588,2.05019
34,0.155714,2.1586
35,0.159444,2.13161
36,0.164324,2.04615
37,0.167105,2.0312
38,0.171538,2.07956
39,0.174,2.048
40,0.18122,2.0003
41,0.185,2.06097
42,0.192326,1.91987
43,0.196136,2.01517
44,0.200667,2.00081
45,0.207391,1.90221
46,0.212979,1.95307
47,0.219375,1.91194
48,0.223061,1.94571
49,0.2288,1.92826
50,0.234118,1.9122
51,0.238269,1.9361
52,0.242642,1.91324
53,0.246667,1.8865
54,0.252,1.85541
55,0.256607,1.87458
56,0.258947,1.88263
57,0.263103,1.92571
58,0.26661,1.90537
59,0.271333,1.85904
60,0.276557,1.78721
61,0.280806,1.78523
62,0.285873,1.82676
63,0.288906,1.88593
64,0.292923,1.85029
65,0.298485,1.76691
66,0.303134,1.80909
67,0.307059,1.79994
68,0.30971,1.87602
69,0.314143,1.76789
70,0.317746,1.79029
71,0.32,1.83702
72,0.322466,1.91468
73,0.324459,1.90052
74,0.328267,1.81203
75,0.331184,1.7874
76,0.333896,1.7969
77,0.33641,1.84051
78,0.34,1.74361
79,0.34325,1.70335
80,0.34716,1.64454
81,0.349634,1.8008
82,0.351807,1.77295
83,0.355357,1.69098
84,0.358588,1.7356
85,0.362209,1.61734
86,0.364713,1.72089
87,0.366591,1.80276
