,accuracies,losses
0,0.07,2.3178
1,0.06,2.31916
2,0.0566667,2.32424
3,0.065,2.30525
4,0.066,2.30738
5,0.0733333,2.29914
6,0.08,2.29751
7,0.08,2.27949
8,0.0844444,2.28322
9,0.09,2.28346
10,0.0881818,2.30395
11,0.0991667,2.26388
12,0.108462,2.25762
13,0.115,2.27765
14,0.116,2.26843
15,0.12125,2.2733
16,0.128824,2.2576
17,0.131667,2.2715
18,0.136842,2.25931
19,0.1425,2.26841
20,0.145238,2.25294
21,0.148636,2.25199
22,0.154783,2.23214
23,0.15625,2.26264
24,0.1588,2.25083
25,0.161923,2.24705
26,0.165556,2.22718
27,0.169286,2.23772
28,0.172069,2.23544
29,0.177333,2.22654
30,0.180323,2.22812
31,0.180312,2.23997
32,0.184242,2.21071
33,0.187941,2.21571
34,0.190857,2.22168
35,0.193611,2.22577
36,0.196757,2.20847
37,0.198947,2.20575
38,0.201538,2.21232
39,0.20575,2.18488
40,0.209268,2.18353
41,0.21119,2.20229
42,0.214419,2.19006
43,0.217273,2.18994
44,0.219111,2.19305
45,0.221522,2.16464
46,0.222128,2.18762
47,0.224167,2.17101
48,0.22551,2.16292
49,0.2264,2.17897
50,0.228235,2.16068
51,0.229808,2.16138
52,0.232075,2.16787
53,0.233889,2.15198
54,0.237091,2.12731
55,0.240357,2.11833
56,0.24193,2.15146
57,0.244828,2.14409
58,0.246949,2.14505
59,0.2495,2.12023
60,0.251311,2.09242
61,0.252903,2.1063
62,0.255714,2.10675
63,0.255781,2.14093
64,0.258462,2.09481
65,0.263788,2.03142
66,0.266119,2.1001
67,0.267794,2.09993
68,0.269565,2.10154
69,0.271286,2.10901
70,0.272817,2.09611
71,0.274861,2.08981
72,0.276849,2.11532
73,0.277432,2.12173
74,0.278133,2.09447
75,0.279342,2.07787
76,0.280909,2.08675
77,0.283333,2.0723
78,0.284304,2.06054
79,0.285625,2.04343
80,0.287037,2.02319
81,0.288293,2.05187
82,0.289518,2.07852
83,0.290714,2.03413
84,0.292235,2.04512
85,0.294767,1.95629
86,0.296437,2.01335
87,0.298068,2.01955
88,0.299438,2.04967
89,0.302,1.95047
90,0.304286,1.97244
91,0.307174,1.96029
92,0.309892,2.00414
93,0.312234,1.9145
94,0.314211,1.94072
95,0.316042,1.95821
96,0.317835,1.92353
97,0.320306,1.90064
98,0.322828,1.91797
99,0.3251,1.91235
100,0.327426,1.89849
101,0.329314,1.9182
102,0.330291,1.96043
103,0.332885,1.82998
104,0.335143,1.81843
105,0.336604,1.85607
106,0.339626,1.82497
107,0.341296,1.8347
108,0.34367,1.791
