,loss,accuracy,val_loss,val_accuracy
0,1.19,0.721383,0.728504,0.8438
1,0.653263,0.84865,0.554796,0.8705
2,0.542656,0.8657,0.485473,0.8803
3,0.489638,0.874433,0.446604,0.8859
4,0.45722,0.880867,0.421148,0.8918
5,0.434835,0.8845,0.402915,0.8954
6,0.418198,0.88795,0.38907,0.8978
7,0.405205,0.890783,0.378117,0.8998
8,0.394692,0.8933,0.369184,0.9021
9,0.385954,0.8952,0.361726,0.9036
10,0.378539,0.897067,0.355383,0.9051
11,0.372141,0.898533,0.349905,0.9061
12,0.366544,0.899667,0.345115,0.9068
13,0.361591,0.900883,0.340883,0.9077
14,0.357167,0.90195,0.33711,0.9087
15,0.353182,0.902817,0.333719,0.9087
16,0.349568,0.903567,0.330653,0.9094
17,0.346268,0.904283,0.327863,0.9103
18,0.34324,0.904767,0.325311,0.9108
19,0.340446,0.905533,0.322966,0.9108
20,0.337859,0.90605,0.320802,0.9117
21,0.335453,0.906583,0.318797,0.9126
22,0.333208,0.90735,0.316934,0.913
23,0.331107,0.907683,0.315198,0.9136
24,0.329133,0.908267,0.313574,0.9147
25,0.327276,0.9088,0.312052,0.915
26,0.325523,0.909283,0.310622,0.9155
27,0.323865,0.909867,0.309276,0.9158
28,0.322293,0.910283,0.308005,0.9161
29,0.320801,0.910733,0.306804,0.9159
30,0.319381,0.911083,0.305667,0.9164
31,0.318028,0.91155,0.304587,0.9167
32,0.316736,0.912083,0.303562,0.9172
33,0.315502,0.91245,0.302586,0.9171
34,0.31432,0.912733,0.301657,0.9172
35,0.313188,0.913117,0.30077,0.9173
36,0.312101,0.913533,0.299922,0.9175
37,0.311057,0.913817,0.299112,0.9174
38,0.310053,0.914067,0.298336,0.9176
39,0.309086,0.914433,0.297593,0.9174
40,0.308154,0.91465,0.29688,0.9175
41,0.307255,0.914883,0.296195,0.9177
42,0.306387,0.915133,0.295536,0.9179
43,0.305548,0.915383,0.294903,0.9181
44,0.304737,0.91565,0.294294,0.9183
45,0.303952,0.915783,0.293706,0.9184
46,0.303192,0.91595,0.29314,0.9184
47,0.302455,0.916167,0.292594,0.9185
48,0.30174,0.916283,0.292066,0.9186
49,0.301046,0.9164,0.291557,0.9186
50,0.300372,0.916467,0.291064,0.9189
51,0.299717,0.916617,0.290587,0.919
52,0.299081,0.9167,0.290125,0.9189
53,0.298461,0.9169,0.289679,0.919
54,0.297858,0.917,0.289245,0.9192
55,0.297271,0.9172,0.288825,0.9194
56,0.296699,0.9173,0.288418,0.9194
57,0.296141,0.917567,0.288023,0.9196
58,0.295597,0.91775,0.287639,0.9198
59,0.295066,0.917783,0.287266,0.9199
60,0.294548,0.917883,0.286903,0.9202
61,0.294042,0.918117,0.286551,0.9205
62,0.293548,0.918217,0.286208,0.9204
63,0.293064,0.918417,0.285874,0.9205
64,0.292592,0.9185,0.285549,0.9204
65,0.29213,0.918683,0.285233,0.9207
66,0.291678,0.918817,0.284925,0.9208
67,0.291236,0.91895,0.284624,0.9208
68,0.290802,0.919,0.284331,0.9207
69,0.290378,0.919233,0.284046,0.921
70,0.289962,0.91935,0.283767,0.9212
71,0.289555,0.91945,0.283495,0.9212
72,0.289156,0.919533,0.28323,0.9212
73,0.288764,0.919583,0.28297,0.9213
74,0.28838,0.9197,0.282717,0.9214
75,0.288003,0.919683,0.28247,0.9212
76,0.287633,0.919767,0.282228,0.9212
77,0.28727,0.9199,0.281991,0.9214
78,0.286914,0.92005,0.28176,0.9215
79,0.286564,0.920183,0.281534,0.9215
80,0.28622,0.920233,0.281312,0.9217
81,0.285882,0.920433,0.281095,0.9217
82,0.28555,0.920517,0.280883,0.9216
83,0.285223,0.920667,0.280676,0.9216
84,0.284902,0.920733,0.280472,0.9217
85,0.284586,0.920767,0.280273,0.9218
86,0.284276,0.920917,0.280078,0.9218
87,0.28397,0.921,0.279886,0.9218
88,0.28367,0.921017,0.279699,0.9219
89,0.283374,0.921033,0.279515,0.9223
90,0.283082,0.921133,0.279334,0.9222
91,0.282795,0.9212,0.279157,0.9224
92,0.282513,0.921333,0.278984,0.9226
93,0.282235,0.921383,0.278813,0.9226
94,0.281961,0.92145,0.278646,0.9226
95,0.281691,0.9216,0.278482,0.9226
96,0.281424,0.921683,0.278321,0.9226
97,0.281162,0.921817,0.278163,0.9227
98,0.280903,0.921967,0.278007,0.9227
99,0.280649,0.922017,0.277855,0.9227
