,loss,accuracy,val_loss,val_accuracy
0,0.98518,0.733583,0.380641,0.8908
1,0.345917,0.8996,0.303257,0.9109
2,0.294464,0.913933,0.271326,0.9197
3,0.265729,0.922567,0.248098,0.9259
4,0.243354,0.928817,0.228993,0.9316
5,0.225151,0.9342,0.212996,0.936
6,0.20988,0.938533,0.199463,0.94
7,0.19678,0.943317,0.187053,0.9429
8,0.185519,0.94685,0.17698,0.9444
9,0.175681,0.949983,0.16879,0.9475
10,0.166877,0.952283,0.161596,0.9507
11,0.158952,0.9544,0.154899,0.9522
12,0.151697,0.95665,0.14828,0.9549
13,0.145017,0.958467,0.14271,0.9567
14,0.13878,0.9602,0.137912,0.9584
15,0.133054,0.961733,0.133112,0.9597
16,0.127746,0.963417,0.128684,0.9608
17,0.122799,0.96495,0.124615,0.9619
18,0.118115,0.96605,0.120852,0.9627
19,0.113723,0.96755,0.117162,0.964
20,0.109602,0.968833,0.113509,0.9648
21,0.105695,0.970033,0.110257,0.9657
22,0.102008,0.971183,0.107093,0.9667
23,0.0985553,0.972167,0.104395,0.9671
24,0.0952976,0.972967,0.101747,0.9681
25,0.0922181,0.97395,0.0992879,0.9691
26,0.0892836,0.974783,0.0965742,0.9697
27,0.0864861,0.97555,0.0943322,0.9707
28,0.0838353,0.976333,0.0920341,0.9718
29,0.0813202,0.977333,0.0899086,0.9722
30,0.0788673,0.9779,0.0879336,0.9729
31,0.0765902,0.978567,0.0861123,0.973
32,0.074413,0.97915,0.0843561,0.9739
33,0.0723527,0.9796,0.082605,0.9747
34,0.0703962,0.9803,0.0811487,0.9748
35,0.0685495,0.980683,0.0794563,0.9751
36,0.0667707,0.98115,0.0785968,0.9755
37,0.0650644,0.981733,0.0768762,0.9758
38,0.0634256,0.981967,0.0759013,0.976
39,0.0618928,0.982467,0.074796,0.9762
40,0.060412,0.983,0.0741139,0.9764
41,0.0589966,0.9834,0.0731156,0.9767
42,0.0576389,0.983867,0.072146,0.9769
43,0.0563346,0.984267,0.0714147,0.977
44,0.0550378,0.98465,0.0706682,0.9771
45,0.0538388,0.98495,0.0698083,0.9776
46,0.0526499,0.9852,0.0692028,0.9779
47,0.0515156,0.9857,0.0683881,0.9779
48,0.0504053,0.98605,0.0677903,0.978
49,0.0493533,0.986217,0.0670812,0.9783
50,0.04831,0.986633,0.0666747,0.9783
51,0.0473432,0.986933,0.0662189,0.9784
52,0.0463729,0.987367,0.0656419,0.9788
53,0.0454454,0.987683,0.065294,0.9787
54,0.0445506,0.987817,0.0647279,0.9792
55,0.043671,0.98805,0.0643189,0.9795
56,0.0428146,0.988283,0.0638967,0.9797
57,0.0420026,0.98855,0.0634545,0.9796
58,0.0411999,0.9889,0.0631131,0.9797
59,0.0404268,0.989167,0.0627169,0.9801
60,0.039675,0.989417,0.0623452,0.98
61,0.0389284,0.9897,0.0619824,0.98
62,0.0382268,0.989833,0.061592,0.9799
63,0.0375237,0.990067,0.0613103,0.9801
64,0.0368364,0.990217,0.06096,0.9801
65,0.0361578,0.990433,0.061094,0.9802
66,0.0355152,0.990683,0.0608726,0.9801
67,0.0348561,0.990817,0.0605037,0.9807
68,0.0342556,0.9911,0.0604012,0.9809
69,0.0336049,0.9913,0.0601371,0.9811
70,0.0330331,0.991483,0.0599692,0.9811
71,0.0324608,0.9916,0.0595992,0.981
72,0.031912,0.991783,0.0594506,0.9812
73,0.0313613,0.9919,0.0592521,0.9811
74,0.030839,0.992067,0.0590679,0.981
75,0.0303296,0.992133,0.0588416,0.981
76,0.0298252,0.992267,0.0587932,0.9813
77,0.029321,0.99245,0.0586208,0.9812
78,0.0288561,0.992617,0.0584571,0.9813
79,0.0283756,0.9927,0.0583623,0.9812
80,0.0279175,0.99285,0.0581161,0.9813
81,0.0274576,0.9929,0.0580437,0.9814
82,0.027013,0.993167,0.057855,0.9816
83,0.0266003,0.993283,0.0576705,0.9817
84,0.0261724,0.993517,0.0576855,0.9818
85,0.0257381,0.9937,0.0574951,0.9818
86,0.0253433,0.993833,0.0573883,0.9815
87,0.0249318,0.994017,0.0572966,0.9817
88,0.0245365,0.99415,0.057213,0.9815
89,0.0241564,0.994283,0.0571493,0.9813
90,0.0237813,0.994417,0.0569712,0.9814
91,0.0234055,0.994583,0.0569643,0.9815
92,0.0230411,0.9946,0.0568249,0.9819
93,0.0226695,0.994733,0.0568446,0.9815
94,0.0223412,0.994733,0.0566406,0.9816
95,0.0219822,0.99485,0.056665,0.9817
96,0.0216496,0.995,0.0565266,0.9819
97,0.0213063,0.995217,0.0565606,0.9817
98,0.0209891,0.9954,0.0564868,0.982
99,0.0206594,0.995333,0.0564973,0.9819
